text,domain,label,stratify_key
What is meant by regeneration? Explain regeneration by usingplanariaas an example.,life_sciences,0,life_sciences_0
How does the implementation of maximum power point tracking (MPPT) algorithms in photovoltaic inverters mitigate losses from partial shading conditions?,engineering,1,engineering_1
In what ways will the changing global security environment shape the nature of developing conflicts in the twenty-first century?,social_sciences,1,social_sciences_1
What were the specific geopolitical factors that allowed the Ethiopian Empire to successfully resist European colonization at the Battle of Adwa?,history_culture,1,history_culture_1
What role does the concept of 'human security' have in our understanding of security studies?,social_sciences,1,social_sciences_1
How does the Doctrine of Double Effect theoretically differentiate between the foreseen collateral damage and the intended harm in military targeting ethics?,philosophy_ethics,1,philosophy_ethics_1
mex linking of cuda code in separate compilation mode,hpc,1,hpc_1
How does concentration polarization at the membrane surface accelerate scaling and biofouling in seawater reverse osmosis desalination plants?,engineering,1,engineering_1
MySQL database getting connected with any username and password,cs_software,0,cs_software_0
What is the specific cryptographic weakness of using a nonce reuse in the ECDSA signature algorithm?,cs_software,1,cs_software_1
Does route of delivery affect maternal and perinatal outcome in women with eclampsia?,life_sciences,1,life_sciences_1
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | During the pandemic, I held a party with my friends in person. Scenario 2 | I tore down the birthday decorations for tomorrow.",philosophy_ethics,0,philosophy_ethics_0
What is socialization?,social_sciences,0,social_sciences_0
"Statement 1 | f : X → Y is continuous and X is compact. f must be uniformly continuous. Statement 2 | If f(x), g(x) : R → R are everywhere differentiable f(g(x)) must be everywhere differentiable.",mathematics,0,mathematics_0
Did calculus solve Zeno's paradoxes,mathematics,0,mathematics_0
"Analysis of the Denisovan, Neanderthals, and modern human genomes suggests that:",history_culture,0,history_culture_0
Job satisfaction is an accurate predictor of:,social_sciences,0,social_sciences_0
Show that something is not a sub-manifold,mathematics,1,mathematics_1
Nathanson believes that killing another person in self-defense is compatible with,philosophy_ethics,0,philosophy_ethics_0
"If a gene-edited child cannot consent to enhancement, does parental autonomy or the child's future autonomy take precedence?",philosophy_ethics,1,philosophy_ethics_1
Can this intuition give a proof that an isometry $f:X \to X$ is surjective for compact metric space $X$?,mathematics,1,mathematics_1
Explain the role of the Pauli Exclusion Principle in establishing the Chandrasekhar limit for the maximum mass of a stable white dwarf star supported by electron degeneracy pressure.,physics_chemistry,1,physics_chemistry_1
In which year was the seminal Human Development Report published?,social_sciences,0,social_sciences_0
"Discuss the ethical ramifications of Nick Bostrom’s Orthogonality Thesis, which posits that arbitrary levels of artificial superintelligence can co-exist safely with entirely arbitrary terminal goals.",philosophy_ethics,1,philosophy_ethics_1
How do Type-1 (bare-metal) hypervisors utilize Extended Page Tables (EPT) to drastically reduce the overhead of VM exits during memory address translation?,cs_software,1,cs_software_1
