query,result
explain big o notation for algorithms,1
whats the diff between bubble sort and quicksort,1
how do hash tables resolve collisions under the hood,1
what are the advantages of linked lists over arrays,1
define dynamic programming in computer science,1
what exactly is memoization anyway,1
depth first search versus breadth first search,1
explain the time complexity of binary search,1
what does np complete mean,1
how do bloom filters work,1
what are graph databases actually used for,1
explain red black trees simply pls,1
greedy algorithms vs divide and conquer,1
wht is the space complexity of merge sort,1
how to reverse a linked list conceptually,1
what is the purpose of a heap data structure,1
what is tail recursion,1
big o of inserting into a binary search tree,1
explain dijkstras algorithm step by step,1
difference between a directed and undirected graph,1
what makes a sorting algorithm stable,1
lru cache implementation details,1
conceptually how do radix sorts function,1
time complexity to find max value in an unsorted array,1
how do closures work in javascript,1
what are python decorators,1
difference between abstract class and interface in java,1
explain the rust ownership model,1
how does garbage collection work in go basically,1
differences between let n const in js,1
what is a goroutine,1
explain the global interpreter lock in python,1
what are generators in es6,1
multiple inheritance vs mixins,1
how do event loops work in nodejs,1
diff between var and let in javascript,1
what are cpp smart pointers,1
explain list comprehensions in python,1
what is the meaning of duck typing,1
sql inner join versus left join,1
what is hoisting in javascript,1
differences between tuples and lists in python,1
what does static mean in java,1
java stream api map vs flatmap,1
how do promises work in javascript,1
what is the virtual dom in react,1
sql group by vs having clause explained,1
explain pointers in c programming,1
explain model view controller architecture,1
what is the singleton design pattern,1
can someone explain the main differences between a microservices approach and a monolithic software architecture,1
what is the factory method pattern,1
explain domain driven design,1
what do the solid principles stand for,1
event driven architecture pros and cons,1
differences between hexagonal architecture and clean architecture,1
what is the observer pattern used for,1
how does dependency injection work,1
explain the strategy pattern,1
what is serverless architecture,1
explain command query responsibility segregation,1
facade pattern vs adapter pattern,1
what is inversion of control,1
decorator pattern in software design,1
what are the benefits of the builder pattern,1
whats a reverse proxy do,1
service mesh architecture concepts explained,1
difference between stateful and stateless applications,1
explain the repository pattern,1
how does the pub sub messaging model work,1
what is a bounded context in ddd,1
what does clean code mean in software engineering,1
how do b-tree database indexes work,1
explain first normal form in sql,1
what does acid compliance mean,1
differences between sql and nosql databases,1
what is database sharding,1
how would someone explain the cap theorem in the context of distributed systems to a beginner,1
how do database transactions actually work,1
what is a materialized view,1
indexing strategies for large tables,1
relational databases vs graph databases,1
what causes database deadlocks,1
explain dirty reads in sql,1
what is write ahead logging,1
difference between primary key and unique key,1
how does redis caching improve performance,1
document database versus column family store,1
what is a sql stored procedure,1
isolation levels in relational databases,1
explain database connection pooling,1
how does eventual consistency work,1
what are time series databases used for,1
what is an execution plan in sql,1
explain foreign key constraints,1
differences between clustered and non clustered indexes,1
difference between tcp and udp protocol,1
how exactly does the three way handshake process work in the tcp protocol,1
explain the osi model layers,1
what is a websocket connection,1
http get vs post methods,1
how does dns resolution happen,1
grpc versus rest performance,1
what is the purpose of cors,1
how do cookies work in http,1
explain the concept of a subnet mask,1
what happens when a url is typed into a web browser exactly,1
differences between ipv4 and ipv6,1
what is long polling,1
how does an ssl handshake work,1
